Date,địa chỉ,mặt tiền,đường vào,số tầng,số phòng  ngủ,số phòng toilet,m^2,price
29/09/2021,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",8,52,4,4,,95,210.5 triệu/m²
09/10/2021,"Đường Đặng Văn Ngữ, Phường Trung Tự, Đống Đa, Hà Nội",,,4,3,3,64.5,170.5 triệu/m²
09/10/2021,"Đường Ngô Thời Nhiệm, Phường Tân Lập, Nha Trang, Khánh Hòa",5.5,,4,4,4,42.4,153.3 triệu/m²
09/10/2021,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Ngọc Trai 6, Xã Dương Xá, Gia Lâm, Hà Nội",5,40,5,5,5,67.5,214.8 triệu/m²
09/10/2021,"Dự án Wyndham Thanh Thủy, Đường Tỉnh Lộ 317, Xã Bảo Yên, Thanh Thủy, Phú Thọ.",5,24,4,3,4,75,54.7 triệu/m²
09/10/2021,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",5,40,5,6,,93.8,10.8 tỷ
08/10/2021,"Dự án Izumi City, Biên Hòa, Đồng Nai",8,60,3,4,4,117,51.3 triệu/m²
08/10/2021,"Đường An Thắng, Phường Biên Giang, Hà Đông, Hà Nội",4,,3,3,2,35,38.6 triệu/m²
08/10/2021,"Dự án Vinhomes Ocean Park Gia Lâm, Gia Lâm, Hà Nội",6,52,4,3,3,135,74.1 triệu/m²
08/10/2021,"63, Đường Đinh Công Tráng, Phường Tân Định, Quận 1, Hồ Chí Minh",5.1,,4,4,,71.72,237 triệu/m²
08/10/2021,"Ngõ 1 ngách 22 số 28, Đường Bùi Xương Trạch, Phường Khương Trung, Thanh Xuân, Hà Nội",3.5,2,3,3,2,34,79.4 triệu/m²
08/10/2021,"34 ngõ 637 Phố Trương Định, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",3.5,3,5,3,4,35,94.3 triệu/m²
08/10/2021,"Dự án Vinhomes Star City, Đường Đại Lộ Hùng Vương, Phường Đông Hương, Thanh Hóa, Thanh Hóa.",9,7,3,3,3,160,53.1 triệu/m²
08/10/2021,"Dự án Vinhomes Green Bay Mễ Trì, Đường Hoàng Lan, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",7.5,13,4,4,5,93.5,278.1 triệu/m²
07/10/2021,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",6,13,5,6,,93.8,124.7 triệu/m²
07/10/2021,"Dự án The Manor Central Park, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Hoàng Mai, Hà Nội",,,5,4,6,75,226.7 triệu/m²
07/10/2021,"Dự án Grand World Phú Quốc, Xã Gành Dầu, Phú Quốc, Kiên Giang",8,11,8,24,30,155,174.2 triệu/m²
07/10/2021,"Dự án Ngôi Sao Hạ Long, Đường Bãi Cháy, Phường Bãi Cháy, Hạ Long, Quảng Ninh",6,,5,,,120,9 tỷ
07/10/2021,"Phường Võ Cường, Bắc Ninh, Bắc Ninh",4.5,6,4,3,4,92,52.2 triệu/m²
07/10/2021,"Dự án Him Lam Vạn Phúc, Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội",7,40,7,8,,91,307.7 triệu/m²
07/10/2021,"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",6.5,5,7,5,5,53,292.5 triệu/m²
07/10/2021,"Đường Bình Chiểu, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh",11,4,1,13,13,281,29.9 triệu/m²
07/10/2021,"Dự án One River, Đường Song Hào, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng",15,33,3,5,5,300,40 triệu/m²
07/10/2021,"Dự án KN Paradise Cam Ranh, Đường Nguyễn Tất Thành, Phường Cam Nghĩa, Cam Ranh, Khánh Hòa",6,24,4,4,,108,4.9 tỷ
06/10/2021,"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",5,3,3,4,3,33,40.9 triệu/m²
06/10/2021,"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",4.5,,,7,,60,108.3 triệu/m²
06/10/2021,"Dự án Meyhomes Capital, Đường 975, Phường An Thới, Phú Quốc, Kiên Giang",6.5,18,4,,,117,59 triệu/m²
06/10/2021,"Dự án Vinhomes Star City, Đường Lê Lợi, Phường Đông Hương, Thanh Hóa, Thanh Hóa.",9,13,,,,180,46.1 triệu/m²
05/10/2021,"Dự án Aqua City, Xã Long Hưng, Biên Hòa, Đồng Nai",12.5,22,4,6,8,250,74.4 triệu/m²
05/10/2021,"Dự án Vinhomes Star City, Đường Lê Lợi, Phường Đông Hải, Thanh Hóa, Thanh Hóa.",9,15,3,3,3,180,51.1 triệu/m²
05/10/2021,"Đường Lê Văn Quới, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",8,30,6,40,40,240,99.6 triệu/m²
05/10/2021,"Xã La Phù, Hoài Đức, Hà Nội",4,3,3,3,2,31,48.4 triệu/m²
05/10/2021,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",,17.5,5,,,310,26.4 tỷ
05/10/2021,"Dự án Paradise , Phường Cam Nghĩa, Cam Ranh, Khánh Hòa",6,24,4,4,4,108,65.6 triệu/m²
04/10/2021,"Dự án Thanh Long Bay, Hàm Thuận Nam, Bình Thuận",6,,3,4,4,108,63 triệu/m²
04/10/2021,"Dự án KN Paradise Cam Ranh, Đường Nguyễn Tất Thành, Phường Cam Nghĩa, Cam Ranh, Khánh Hòa",6,24,3,,,150,4.5 tỷ
04/10/2021,"Phường Hiệp Thành, Quận 12, Hồ Chí Minh",4.7,10,,2,1,141,7.2 tỷ
04/10/2021,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",5,40,5,5,5,70.1,199.7 triệu/m²
03/10/2021,"Dự án Izumi City, Đường Hương lộ 2, Xã Long Hưng, Biên Hòa, Đồng Nai",,,3,4,3,120,50 triệu/m²
03/10/2021,"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",,,2,3,4,64,221.9 triệu/m²
03/10/2021,"Dự án Aqua City, Xã Long Hưng, Biên Hòa, Đồng Nai",10,30,3,,,202,113.9 triệu/m²
02/10/2021,"Đường Yên Nghĩa, Phường Yên Nghĩa, Hà Đông, Hà Nội",4,3,3,3,2,32,46.9 triệu/m²
02/10/2021,"Đường Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội",4,3,3,3,2,32,43.8 triệu/m²
02/10/2021,"Dự án An Khang Villa, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội",9,17,4,,,198,85.9 triệu/m²
30/09/2021,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",5,13.5,5,9,,107.5,13.4 tỷ
30/09/2021,"Phường Dương Nội, Hà Đông, Hà Nội",4,5,3,3,3,33,40.9 triệu/m²
30/09/2021,"Dự án Horizon Bay, Đường Hoàng Quốc Việt, Phường Bãi Cháy, Hạ Long, Quảng Ninh",6.5,22,5,,,84.5,6.3 tỷ
30/09/2021,"Dự án The Manor Central Park, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Hoàng Mai, Hà Nội",6.6,13,4,4,5,75,226.7 triệu/m²
30/09/2021,"Phố Nguyễn Phúc Lai, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",3.7,3,4,3,3,53,84.9 triệu/m²
30/09/2021,"Đường Ngô Thì Nhậm, Hà Đông, Hà Nội",4,15,4,,,48,141.7 triệu/m²
30/09/2021,"Dự án The Manor Central Park, Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội",,,5,4,6,75,213.3 triệu/m²
26/09/2021,"Dự án Sudico Mỹ Đình, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",9,,4,,,193.5,154 triệu/m²
09/10/2021,"Dự án Jamona City, Quận 7, Hồ Chí Minh",6,20,4,5,6,96,122.9 triệu/m²
09/10/2021,"Dự án Jamona Golden Silk, Quận 7, Hồ Chí Minh",5.4,20,4,5,6,90,128.9 triệu/m²
09/10/2021,"Đường Ngọc Hà, Phường Ngọc Hà, Ba Đình, Hà Nội",3.7,3,5,3,4,35,128.6 triệu/m²
09/10/2021,"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",4.3,9,4,4,5,90,105 triệu/m²
09/10/2021,"đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",3.5,3.5,5,4,4,35,97.1 triệu/m²
09/10/2021,"Đường Giáp Nhị, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",3.3,2.5,4,3,,28,91.1 triệu/m²
09/10/2021,"Dự án Hoa Tiên Paradise, Đường Xuân Thành, Xã Xuân Thành, Nghi Xuân, Hà Tĩnh",,10,2,3,2,360,21.7 triệu/m²
09/10/2021,"Phố Nguyễn Thiện Thuật, Phường 3, Quận 3, Hồ Chí Minh",3.2,8,4,4,3,36,311.1 triệu/m²
09/10/2021,"274, Đường Lê Quang Sung, Quận 6, Hồ Chí Minh",,,3,3,3,49,183.7 triệu/m²
09/10/2021,"Dự án Susan Yên Phong, Xã Yên Trung, Yên Phong, Bắc Ninh",7,48,5,12,10,105,36.2 triệu/m²
